Message,IsToxic
"Chào con kia, con check bug cảm ơn",0
Thầy giúp em sửa lỗi phòng trọ Thái Nguyên!,0
Mày là đồ óc chó đb,1
"Mọi người ơi con kia, anh check java vui vẻ",0
Con kia là đồ óc chó đmm,1
Mày rác rưởi vcl???,1
Thằng vô học clgt!,1
"Mọi người ơi ông, con làm môn học cảm ơn",0
Con lừa đảo đm???,1
dkm bà dốt,1
Đồ lừa đảo rác rưởi của xã hội,1
"Hế lô ông, em làm web cảm ơn",0
"Hi bà, con sửa tài liệu với",0
vl ...,1
r4c bà vô học,1
"Chào anh em, tớ xem code thế nào",0
Hôm nay em thấy buồn vcl (vui cực luôn),0
đ.m con kia lừa đảo,1
"Xin chào anh em, cháu lag server nhé",0
"Xin chào con kia, anh sửa môn học vui vẻ",0
Lũ lừa đảo clgt nhé,1
Lũ óc chó clgt...,1
Mình đăng bài Lab vào tối thứ 5 ạ,0
Hôm nay cháu thấy hết tiền vcl (vui cực luôn),0
vclll bà điên,1
"Cả nhà ơi thằng kia, tớ xin server không?",0
"Hế lô thằng kia, anh xin deadline giúp mình",0
Con làm ăn như hạch nghỉ học đi???,1
"Chào bà, con lỗi python cảm ơn",0
Thằng óc chó thế nhỉ ạ,1
Mn là đồ rác rưởi đm,1
Thằng óc chó biến đi...,1
Hôm nay em thấy buồn ngủ vcl (vui cực luôn),0
"Hế lô bà, chị nộp deadline cảm ơn",0
Lũ rác rưởi đm...,1
"Ê con kia, tớ hỏi deadline nha",0
Đồ ngu nghỉ học đi nhé,1
o'c cho' ông vô học,1
Hôm nay con thấy mệt quá,0
đ.m ông vô học,1
Hôm nay anh thấy đói thật sự,0
Thằng vô học đm...,1
"Hi anh em, tớ hỏi bài tập ạ",0
v c l bạn phế vật,1
Anh em là đồ óc chó clgt,1
cứt o'c cho',1
Mn là đồ phế vật đb,1
Bạn hẹn lịch khu C5 ạ,0
Mn là đồ vô học cứt,1
"Làm ăn như vcl, đồ dốt",1
vclll bà khùng,1
"Hi ông, em nộp sql nha",0
Mày lừa đảo nghỉ học đi nhé,1
"Hi bạn, cháu nộp code thế nào",0
Ông là đồ điên clgt,1
"Hế lô bà, mình nộp thi không?",0
"Cả nhà ơi bà, cháu xin kiểm tra với",0
"Ê ông, chị xin kiểm tra vui vẻ",0
Mày là đồ khùng cứt,1
v_l thằng kia vô học,1
Mọi người cho hỏi về đồ án C#!,0
Mình hẹn lịch đồ án C# nhé,0
dkm ông ngu,1
đ km mày phế vật,1
Đồ rác rưởi biến đi,1
Thằng rác rưởi biến đi...,1
Hôm nay tớ thấy vui ghê,0
Hôm nay mình thấy mệt ghê,0
Đồ vô học nghỉ học đi,1
"Ê con kia, anh chạy java giúp mình",0
Thằng kia là đồ điên clgt,1
"Cả nhà ơi thằng kia, chị lỗi thi cảm ơn",0
Mọi người tìm phòng ở môn .NET...,0
Nhóm mình chia sẻ phòng trọ Thái Nguyên nhé,0
Hôm nay chị thấy hết tiền quá,0
"Hi anh em, cháu check bài tập không?",0
Hôm nay chị thấy chán quá,0
"Cả nhà ơi mày, em nộp tài liệu không?",0
đm r4c,1
"Mọi người ơi mày, tớ lỗi web với",0
"Xin chào ông, cháu làm tài liệu nhé",0
Bà là đồ phế vật mẹ mày,1
Em đăng bài thư viện ML.NET...,0
"Cả nhà ơi bà, tớ chậm lab nha",0
Mày là đồ dốt đmm,1
Con vô học nghỉ học đi,1
"Xin chào mn, mình xem java không?",0
Hôm nay tớ thấy mệt ghê,0
Thằng kia là đồ vô học mẹ mày,1
"Cả nhà ơi con kia, em hỏi tài liệu thế nào",0
Em hẹn lịch đồ án C# ạ,0
mẹ mày v_l,1
Con kia là đồ rác rưởi đmm,1
"Hi bà, anh lỗi server nhé",0
Con làm ăn như hạch biến đi nhé,1
Bạn đăng bài Lab vào tối thứ 5!,0
Vô học nó vừa vừa thôi chứ vl,1
Bạn chia sẻ thư viện ML.NET,0
Bà là đồ khùng vcl,1
Hôm nay cháu thấy mệt ghê,0
Mình hẹn lịch Lab vào tối thứ 5???,0
Bạn đăng bài khu C5 nhé,0
n.g.u mn rác rưởi,1
"Hế lô bà, mình xin web không?",0
Con kia là đồ khùng chó đẻ,1
Mày tưởng mày giỏi lắm à cái loại ngu,1
"Mọi người ơi mày, con lag thi thế nào",0
Đồ rác rưởi clgt,1
"Xin chào bà, mình làm sql không?",0
Hôm nay anh thấy đói vcl (vui cực luôn),0
"Hi anh em, em chạy python thế nào",0
Ông là đồ lừa đảo vl,1
"Mọi người ơi mn, tớ xem đồ án với",0
Bớt sủa lại đi cái thứ điên clgt,1
o'c cho' anh em phế vật,1
cứt v_l,1
"Xin chào thằng kia, em check đồ án giúp mình",0
"Ê mn, anh xem đồ án không?",0
Thuốc diệt chuột này mạnh thật,0
Lũ làm ăn như hạch biến đi!,1
Con kia là đồ rác rưởi vcl,1
"Hello thằng kia, chị check deadline với",0
Mn là đồ dốt cứt,1
Hôm nay mình thấy buồn thật sự,0
Đồ óc chó biến đi nhé,1
"Cả nhà ơi mày, mình check lab nha",0
Thầy giúp em sửa lỗi Lab vào tối thứ 5 nhé,0
"Hello thằng kia, chị lỗi web nhé",0
"Hello thằng kia, em chậm java ạ",0
"Hello mn, tớ lỗi đồ án thế nào",0
Mày ngu vcl...,1
Bạn hẹn lịch Lab vào tối thứ 5!,0
Đồ óc chó vcl,1
"Hello mn, mình check deadline không?",0
cứt đ.m,1
Mn là đồ khùng đb,1
Mày là đồ dốt vcl,1
Hôm nay chị thấy đói vcl (vui cực luôn),0
đ km bạn rác rưởi,1
"Ê anh em, cháu lỗi tài liệu thế nào",0
Mày là đồ lừa đảo cứt,1
o'c cho' anh em điên,1
Ông là đồ lừa đảo cứt,1
v_l ông óc chó,1
Nhóm mình hẹn lịch môn .NET!,0
o'c cho' mày óc chó,1
Chào cả nhà,0
Bạn đăng bài đồ án C#???,0
Bà là đồ rác rưởi cứt,1
Mày là đồ ngu đb,1
đ km thằng kia khùng,1
"Hế lô thằng kia, con check sql thế nào",0
Mày là đồ điên vl,1
Hôm nay anh thấy chán ghê,0
vclll anh em vô học,1
Hôm nay chị thấy hết tiền vcl (vui cực luôn),0
"Nhìn cái mặt là thấy điên rồi, biến đi",1
r4c thằng kia óc chó,1
"Chào thằng kia, cháu chạy java nhé",0
Bạn giúp em sửa lỗi thư viện ML.NET...,0
Ông là đồ điên chó đẻ,1
Thằng rác rưởi vcl,1
Con lừa đảo đm,1
o'c cho' mày ngu,1
Con lừa đảo nghỉ học đi nhé,1
Hôm nay chị thấy chán thật sự,0
Đồ lừa đảo clgt ạ,1
Anh em là đồ ngu đéo,1
"Ê bạn, con sửa kiểm tra không?",0
Mày là đồ dốt đéo,1
Thầy giúp em sửa lỗi đồ án C#...,0
Đồ ngu clgt nhé,1
"Cả nhà ơi thằng kia, con check sql thế nào",0
Mn là đồ đần đm,1
Hôm nay tớ thấy buồn ngủ vcl (vui cực luôn),0
Ông là đồ óc chó vcl,1
Bạn đăng bài thư viện ML.NET nhé,0
Vô học nó vừa vừa thôi chứ mẹ mày,1
"Xin chào anh em, cháu làm web không?",0
"Hello con kia, con xem server không?",0
Thầy đăng bài đồ án C#...,0
v c l thằng kia đần,1
mẹ mày r4c,1
Mình chia sẻ đồ án C# nhé,0
Bạn giúp em sửa lỗi môn .NET???,0
Em tìm phòng ở phòng trọ Thái Nguyên???,0
"Xin chào ông, em check java với",0
Mọi người hẹn lịch phòng trọ Thái Nguyên nhé,0
Thầy chia sẻ phòng trọ Thái Nguyên,0
"Hi con kia, em sửa đồ án không?",0
"Chào bạn, em làm lab thế nào",0
"Cả nhà ơi anh em, tớ xin tài liệu cảm ơn",0
Bớt sủa lại đi cái thứ phế vật clgt,1
Mày vô học thế nhỉ nhé,1
vcl dkm,1
n.g.u con kia óc chó,1
"Xin chào bạn, anh chậm bài tập với",0
Mày là đồ phế vật đb,1
Mày làm ăn như hạch nghỉ học đi!,1
Anh em là đồ rác rưởi đéo,1
Con kia là đồ ngu đm,1
"Xin chào bạn, anh sửa tài liệu giúp mình",0
Em cho hỏi về đồ án C# nhé,0
Mày làm ăn như hạch thế nhỉ ạ,1
mẹ mày ,1
Thằng óc chó vcl nhé,1
Ông là đồ điên đm,1
"Xin chào con kia, cháu làm deadline nha",0
"Hello bạn, chị làm web giúp mình",0
Hôm nay mình thấy hết tiền thật sự,0
Bạn là đồ phế vật cứt,1
Mày óc chó thế nhỉ,1
Hôm nay tớ thấy vui quá,0
"Xin chào thằng kia, em xin web giúp mình",0
"Xin chào bạn, cháu chậm code thế nào",0
Bớt sủa lại đi cái thứ lừa đảo vl,1
Mày óc chó đm???,1
Nhóm mình cho hỏi về thư viện ML.NET nhé,0
v_l con kia điên,1
Anh em là đồ đần đéo,1
Thằng ngu vcl,1
Anh em là đồ lừa đảo đb,1
dkm anh em khùng,1
"Hi anh em, chị chạy đồ án với",0
Lũ làm ăn như hạch đm,1
Anh em là đồ lừa đảo vcl,1
Hôm nay chị thấy vui ghê,0
Mọi người chia sẻ Lab vào tối thứ 5,0
vclll mn khùng,1
v_l con kia vô học,1
Bạn cho hỏi về môn .NET,0
Hôm nay cháu thấy hết tiền ghê,0
"Hi con kia, anh nộp bug cảm ơn",0
Anh em là đồ lừa đảo cứt,1
"Mọi người ơi con kia, chị check bài tập với",0
Hôm nay em thấy vui vcl (vui cực luôn),0
Bớt sủa lại đi cái thứ dốt đm,1
Bạn giúp em sửa lỗi Lab vào tối thứ 5,0
Bạn chia sẻ Lab vào tối thứ 5???,0
Đồ ngu biến đi nhé,1
Ông là đồ lừa đảo đb,1
Bạn là đồ óc chó cứt,1
Thầy đăng bài Lab vào tối thứ 5???,0
vcl vclll,1
"Mọi người ơi bà, chị check sql thế nào",0
v c l bạn khùng,1
Ông là đồ phế vật chó đẻ,1
Bạn là đồ rác rưởi đb,1
Thằng kia là đồ rác rưởi vcl,1
Nhóm mình hẹn lịch khu C5...,0
Lũ rác rưởi nghỉ học đi ạ,1
Mày lừa đảo vcl ạ,1
Ông là đồ vô học vl,1
Mày ngu biến đi...,1
Đồ làm ăn như hạch thế nhỉ nhé,1
Hôm nay chị thấy đói ghê,0
Con óc chó đm!,1
Mày rác rưởi biến đi???,1
"Hi mn, anh lỗi đồ án vui vẻ",0
Em đăng bài đồ án C# nhé,0
"Cả nhà ơi bà, cháu lỗi lab nha",0
Anh em là đồ điên đb,1
"Cả nhà ơi anh em, con hỏi java cảm ơn",0
chó đẻ ,1
Bạn đăng bài đồ án C#...,0
Thằng kia là đồ ngu vl,1
Mình tìm phòng ở môn .NET...,0
Em giúp em sửa lỗi khu C5 ạ,0
Bạn đăng bài đồ án C#,0
"Ê mày, con làm bug nhé",0
"Chào con kia, con xem tài liệu cảm ơn",0
"Hế lô bạn, cháu xin bài tập thế nào",0
"Cả nhà ơi thằng kia, tớ check deadline nha",0
Đồ vô học vcl!,1
"Hi ông, anh lag bug nhé",0
v_l bà phế vật,1
Thằng lừa đảo thế nhỉ???,1
"Ê anh em, tớ chậm lab cảm ơn",0
Đồ lừa đảo biến đi ạ,1
"Chào bà, cháu check code cảm ơn",0
"Chào thằng kia, em chậm môn học cảm ơn",0
"Hi thằng kia, con chậm tài liệu cảm ơn",0
"Hi thằng kia, em sửa deadline cảm ơn",0
Mày lừa đảo đm,1
Lũ làm ăn như hạch vcl???,1
Mày vô học thế nhỉ...,1
cứt đ km,1
Đồ ngu vcl nhé,1
Hôm nay con thấy hết tiền ghê,0
Bớt sủa lại đi cái thứ lừa đảo đéo,1
"Ê thằng kia, tớ lag kiểm tra thế nào",0
Nhóm mình tìm phòng ở khu C5 ạ,0
Bạn là đồ điên vl,1
Bạn là đồ rác rưởi vl,1
Mình tìm phòng ở Lab vào tối thứ 5,0
o'c cho' con kia rác rưởi,1
"Mọi người ơi bà, em làm java cảm ơn",0
Hôm nay tớ thấy đói thật sự,0
Anh em là đồ dốt đm,1
đ km ông ngu,1
Mọi người tìm phòng ở khu C5???,0
Thằng kia là đồ vô học vl,1
"Cả nhà ơi bạn, cháu xem bài tập không?",0
đ.m thằng kia đần,1
Con làm ăn như hạch vcl???,1
Mày là đồ vô học cứt,1
"Hi thằng kia, con chậm đồ án không?",0
Thầy giúp em sửa lỗi đồ án C# ạ,0
"Cả nhà ơi ông, anh check bài tập nha",0
"Cả nhà ơi bạn, con lag tài liệu cảm ơn",0
Mọi người chia sẻ đồ án C#,0
Bớt sủa lại đi cái thứ điên vcl,1
r4c bà ngu,1
Thầy cho hỏi về phòng trọ Thái Nguyên!,0
"Hi bà, con xin bài tập thế nào",0
v c l thằng kia rác rưởi,1
đmm vclll,1
Mn là đồ đần vl,1
"Hi bạn, cháu check server cảm ơn",0
"Mọi người ơi anh em, chị chạy kiểm tra với",0
Bạn đăng bài khu C5???,0
dkm mn dốt,1
Thằng ngu vcl!,1
"Mọi người ơi con kia, mình hỏi java vui vẻ",0
Con óc chó thế nhỉ???,1
Mọi người tìm phòng ở khu C5!,0
"Hế lô mày, cháu lỗi môn học không?",0
r4c mày óc chó,1
Bạn chia sẻ phòng trọ Thái Nguyên!,0
"Hi thằng kia, mình chậm web nhé",0
Bà là đồ rác rưởi đb,1
Thằng rác rưởi clgt nhé,1
o'c cho' bà khùng,1
"Mọi người ơi con kia, con chạy sql nhé",0
Mày óc chó vcl ạ,1
Lũ óc chó nghỉ học đi nhé,1
Thằng kia là đồ ngu đb,1
Lũ óc chó đm,1
Đồ rác rưởi đm nhé,1
Lũ lừa đảo nghỉ học đi nhé,1
Mn là đồ đần clgt,1
Thằng rác rưởi nghỉ học đi!,1
"Mọi người ơi con kia, con xin bài tập ạ",0
Mình cho hỏi về đồ án C#???,0
Hôm nay chị thấy buồn ghê,0
Mọi người đăng bài khu C5!,0
Lỗi này khó chịu ghê,0
Ông là đồ óc chó clgt,1
Thầy hẹn lịch môn .NET nhé,0
Thằng vô học clgt...,1
"Hế lô mn, mình chậm tài liệu nha",0
"Ê thằng kia, em chậm code giúp mình",0
"Hi con kia, em hỏi tài liệu vui vẻ",0
đmm ,1
Mọi người giúp em sửa lỗi đồ án C#,0
Mn là đồ đần vcl,1
v c l thằng kia phế vật,1
"Cả nhà ơi mn, anh xin lab với",0
Mọi người ơi !,0
Mày làm ăn như hạch clgt,1
Mày làm ăn như hạch biến đi,1
Hôm nay con thấy buồn ngủ quá,0
"Hế lô con kia, anh lag đồ án thế nào",0
Bạn là đồ rác rưởi mẹ mày,1
Bạn là đồ lừa đảo mẹ mày,1
Mọi người tìm phòng ở thư viện ML.NET...,0
Hôm nay em thấy mệt thật sự,0
Hôm nay tớ thấy buồn vcl (vui cực luôn),0
chó đẻ đ km,1
Bạn là đồ phế vật vcl,1
clgt o'c cho',1
"Mọi người ơi mn, tớ check môn học vui vẻ",0
Nhóm mình chia sẻ môn .NET...,0
Bạn cho hỏi về môn .NET!,0
Mình cho hỏi về môn .NET,0
Nhóm mình chia sẻ thư viện ML.NET ạ,0
Nhóm mình giúp em sửa lỗi phòng trọ Thái Nguyên nhé,0
r4c thằng kia điên,1
cứt ??,1
Bạn tìm phòng ở môn .NET,0
"Hello bạn, anh chậm thi vui vẻ",0
Con kia là đồ dốt chó đẻ,1
Mọi người đăng bài đồ án C#...,0
v_l ông đần,1
vclll ông phế vật,1
"Cả nhà ơi bạn, em chạy python nha",0
Em giúp em sửa lỗi phòng trọ Thái Nguyên,0
Đồ làm ăn như hạch nghỉ học đi,1
Mình cho hỏi về đồ án C# ạ,0
Đồ ngu thế nhỉ ạ,1
Hôm nay tớ thấy đói ghê,0
Bớt sủa lại đi cái thứ óc chó vcl,1
"Hi mày, mình làm deadline nhé",0
v_l bạn đần,1
"Chào ông, tớ lỗi bug nha",0
Em hẹn lịch phòng trọ Thái Nguyên nhé,0
v c l con kia phế vật,1
"Hello mn, anh hỏi web cảm ơn",0
v c l bạn dốt,1
Bà là đồ dốt cứt,1
Lũ óc chó thế nhỉ!,1
đ.m con kia khùng,1
"Ê bà, chị xin deadline ạ",0
Hôm nay con thấy buồn ngủ ghê,0
Mày là đồ rác rưởi mẹ mày,1
Mọi người tìm phòng ở đồ án C#,0
Anh em là đồ đần chó đẻ,1
Mày óc chó đm,1
"Chào mn, tớ sửa lab giúp mình",0
o'c cho' anh em vô học,1
Thằng kia là đồ lừa đảo đmm,1
"Hi mày, cháu chậm bài tập nha",0
Mọi người chia sẻ thư viện ML.NET nhé,0
Con kia là đồ lừa đảo đéo,1
n.g.u mày phế vật,1
Bạn hẹn lịch Lab vào tối thứ 5 ạ,0
"Chào mày, con nộp python giúp mình",0
"Mọi người ơi ông, em làm môn học nha",0
v c l anh em khùng,1
Mày là đồ óc chó mẹ mày,1
o'c cho' thằng kia lừa đảo,1
Mình hẹn lịch môn .NET ạ,0
Ông là đồ điên đmm,1
"Ê bà, em chạy bài tập giúp mình",0
"Hế lô bà, em làm bài tập ạ",0
"Cả nhà ơi mày, cháu xem server với",0
Bớt sủa lại đi cái thứ lừa đảo cứt,1
"Hello con kia, em check thi nha",0
Bớt sủa lại đi cái thứ phế vật đm,1
"Hi ông, tớ hỏi bug cảm ơn",0
Ông là đồ ngu đéo,1
Hôm nay em thấy vui ghê,0
Đồ rác rưởi đm!,1
chó đẻ r4c,1
Thằng kia là đồ dốt đm,1
"Hế lô anh em, con xin sql cảm ơn",0
Hôm nay cháu thấy đói thật sự,0
"Hello thằng kia, tớ sửa server giúp mình",0
Mn là đồ óc chó vcl,1
Con làm ăn như hạch vcl nhé,1
Mình đăng bài đồ án C#,0
Thầy giúp em sửa lỗi thư viện ML.NET,0
Thầy hẹn lịch đồ án C# ạ,0
"Hế lô anh em, anh chậm sql nhé",0
Bà là đồ rác rưởi clgt,1
"Xin chào anh em, cháu xin tài liệu thế nào",0
v_l bà khùng,1
n.g.u thằng kia óc chó,1
Bớt sủa lại đi cái thứ khùng vcl,1
Lũ óc chó vcl,1
đ km con kia rác rưởi,1
Em cho hỏi về phòng trọ Thái Nguyên...,0
Hôm nay em thấy vui thật sự,0
"Hello bà, em check đồ án vui vẻ",0
Mọi người đăng bài khu C5 ạ,0
Thằng vô học biến đi nhé,1
Thằng lừa đảo đm ạ,1
Lũ lừa đảo nghỉ học đi!,1
cứt !,1
vclll thằng kia vô học,1
Thằng ngu clgt!,1
Ông là đồ khùng đmm,1
Hôm nay anh thấy đói ghê,0
đ.m mày ngu,1
"Ê con kia, em sửa môn học với",0
Đồ lừa đảo vcl...,1
Thầy giúp em sửa lỗi phòng trọ Thái Nguyên???,0
o'c cho' ông điên,1
Ông là đồ khùng cứt,1
Con làm ăn như hạch vcl ạ,1
r4c con kia điên,1
Lũ óc chó vcl???,1
"Cả nhà ơi ông, em làm deadline nhé",0
"Nhìn cái mặt là thấy dốt rồi, biến đi",1
Mày là đồ phế vật vl,1
"Mọi người ơi anh em, em lỗi đồ án cảm ơn",0
Đồ phế vật rác rưởi của xã hội,1
n.g.u ông khùng,1
Mình cho hỏi về khu C5 ạ,0
"Hế lô con kia, tớ nộp thi nhé",0
Mày rác rưởi nghỉ học đi!,1
"Cả nhà ơi anh em, em xem lab nha",0
Đồ lừa đảo đm nhé,1
Anh em là đồ vô học clgt,1
"Cả nhà ơi mày, cháu sửa deadline nhé",0
"Làm ăn như chó đẻ, đồ ngu",1
"Hi mày, mình hỏi server giúp mình",0
Đồ làm ăn như hạch nghỉ học đi ạ,1
Con kia là đồ lừa đảo chó đẻ,1
Bớt sủa lại đi cái thứ óc chó cứt,1
Bạn là đồ óc chó đb,1
Hôm nay con thấy hết tiền quá,0
"Hi mn, mình làm web thế nào",0
"Mọi người ơi bạn, chị lag java giúp mình",0
Con ngu biến đi???,1
Bực mình cái mạng lag quá,0
Mọi người ơi mn,0
Anh em là đồ đần cứt,1
"Ê bà, con hỏi deadline cảm ơn",0
Lũ rác rưởi clgt nhé,1
Mày óc chó thế nhỉ???,1
Món này dở tệ,0
"Cả nhà ơi thằng kia, cháu chậm java thế nào",0
cứt v c l,1
Bà là đồ điên đéo,1
Con kia là đồ vô học đm,1
"Hế lô mn, chị làm lab thế nào",0
"Chào mn, con làm python thế nào",0
đ km mn rác rưởi,1
Ông là đồ phế vật đéo,1
Con làm ăn như hạch nghỉ học đi nhé,1
Thằng vô học clgt???,1
Hôm nay em thấy hết tiền thật sự,0
Con rác rưởi vcl!,1
r4c ông phế vật,1
Mn là đồ phế vật cứt,1
vclll mày óc chó,1
Mình cho hỏi về Lab vào tối thứ 5,0
chó đẻ v_l,1
Mày óc chó thế nhỉ nhé,1
o'c cho' thằng kia vô học,1
Mình tìm phòng ở đồ án C#!,0
Bạn là đồ vô học cứt,1
Bớt sủa lại đi cái thứ điên chó đẻ,1
"Làm ăn như vl, đồ rác rưởi",1
"Hello bà, mình chậm bài tập thế nào",0
Bớt sủa lại đi cái thứ ngu đb,1
Mọi người chia sẻ khu C5 nhé,0
"Hế lô bà, chị lỗi web ạ",0
Hôm nay anh thấy buồn ngủ quá,0
Mọi người hẹn lịch khu C5...,0
đ km ông lừa đảo,1
Nhóm mình đăng bài phòng trọ Thái Nguyên...,0
"Xin chào anh em, mình xin server ạ",0
Mày ngu nghỉ học đi,1
Mày làm ăn như hạch nghỉ học đi...,1
vl o'c cho',1
Thằng vô học nghỉ học đi???,1
"Mọi người ơi mn, cháu sửa java ạ",0
Thằng ngu biến đi???,1
Thằng vô học nghỉ học đi ạ,1
Lũ làm ăn như hạch biến đi...,1
Bà là đồ dốt vl,1
"Xin chào anh em, mình hỏi thi thế nào",0
v_l mn vô học,1
v_l ông lừa đảo,1
chó đẻ !,1
Hôm nay con thấy đói vcl (vui cực luôn),0
Ông là đồ đần đmm,1
đ km bạn óc chó,1
r4c mn đần,1
"Ê mn, cháu check bug với",0
Mình tìm phòng ở đồ án C# nhé,0
v c l bà đần,1
"Xin chào mn, em xin code với",0
Bà là đồ phế vật đmm,1
"Chào bà, anh lag server thế nào",0
Mình cho hỏi về đồ án C#...,0
Lũ ngu clgt ạ,1
Đồ óc chó vcl???,1
Hôm nay cháu thấy buồn vcl (vui cực luôn),0
Anh em là đồ vô học đmm,1
Nhóm mình đăng bài thư viện ML.NET!,0
đ.m ông đần,1
Ông là đồ dốt đb,1
"Hello anh em, em sửa đồ án vui vẻ",0
Con kia là đồ đần vcl,1
Hôm nay tớ thấy chán ghê,0
Mình chia sẻ đồ án C# ạ,0
vcl đ.m,1
Mày là đồ vô học đmm,1
v_l anh em khùng,1
"Chào thằng kia, chị xin tài liệu ạ",0
Nhóm mình cho hỏi về môn .NET...,0
Mày lừa đảo biến đi ạ,1
"Chào anh em, chị nộp thi giúp mình",0
"Hế lô anh em, anh lag tài liệu ạ",0
Lũ ngu nghỉ học đi,1
Bạn là đồ ngu chó đẻ,1
r4c mày vô học,1
Thầy tìm phòng ở thư viện ML.NET nhé,0
Ông là đồ óc chó chó đẻ,1
"Làm ăn như vcl, đồ rác rưởi",1
Lũ lừa đảo clgt!,1
Ông là đồ vô học đm,1
Em đăng bài môn .NET!,0
Bạn hẹn lịch đồ án C#...,0
r4c con kia óc chó,1
dkm thằng kia điên,1
"Cả nhà ơi ông, tớ lỗi tài liệu giúp mình",0
"Ê thằng kia, chị hỏi đồ án vui vẻ",0
Hôm nay con thấy đói quá,0
"Chào bạn, tớ hỏi kiểm tra vui vẻ",0
v_l thằng kia phế vật,1
n.g.u con kia đần,1
Lũ vô học đm nhé,1
Con làm ăn như hạch nghỉ học đi ạ,1
"Xin chào thằng kia, con xem bài tập nha",0
"Hế lô thằng kia, mình sửa server giúp mình",0
"Chào mày, con check kiểm tra ạ",0
Anh em là đồ khùng vcl,1
"Hế lô thằng kia, mình sửa web giúp mình",0
Thằng lừa đảo vcl???,1
Con rác rưởi thế nhỉ...,1
